id,name,url,tier,type,state,active,errorCount
"cmkytxbk4006i28wqed9j2nfu","El Financiero Turismo","https://www.elfinanciero.com.mx/turismo/rss/",1,"NATIONAL","",true,0
"cmkytxb1g000428wq7u64be16","Reforma","https://www.reforma.com/rss/portada.xml",1,"NATIONAL","",true,0
"cmkytxb2l000b28wqr5mg3edc","Sin Embargo","https://www.sinembargo.mx/feed/",1,"NATIONAL","",true,0
"cmkytxbka006k28wqmi9jggnd","Animal Gourmet","https://www.animalgourmet.com/feed",3,"SPECIALIZED","",true,0
"cmkytxbks006q28wq2k1dta6a","Energía Hoy","https://energiahoy.com/feed/",3,"SPECIALIZED","",true,0
"cmkytxbjc006728wq51gk72b2","FayerWayer","https://www.fayerwayer.com/arc/outboundfeeds/rss/",3,"SPECIALIZED","",true,0
"cmkytxbj4006528wqjmcrks74","Hipertextual","https://hipertextual.com/feed/",3,"SPECIALIZED","",true,0
"cmkytxbl4006t28wqsbxfeczk","Inmobiliare","https://inmobiliare.com/feed/",3,"SPECIALIZED","",true,0
"cmkytxbkm006o28wq1wvba8yv","T21 Logística","https://t21.com.mx/feed/",3,"SPECIALIZED","",true,0
"cmkytxbj8006628wqrq87is31","Unocero","https://www.unocero.com/feed/",3,"SPECIALIZED","",true,0
"cmkytxb3n000p28wqpzzdqeug","El Heraldo de Aguascalientes","https://www.heraldo.mx/feed/",2,"STATE","Aguascalientes",true,0
"cmkytxb3q000q28wqmcxyfc44","Hidrocálido","https://www.hidrocalidodigital.com/feed/",2,"STATE","Aguascalientes",true,0
"cmkytxb3s000r28wq2nnr33hm","LJA.mx","https://www.lja.mx/feed/",2,"STATE","Aguascalientes",true,0
"cmliq95o9000e699ycuipgia3","El Sol de Tijuana","https://www.elsoldetijuana.com.mx/rss",2,"STATE","Baja California",true,0
"cmliq95qq000f699yhsma9abg","La Voz de la Frontera","https://www.lavozdelafrontera.com.mx/rss",2,"STATE","Baja California",true,0
"cmliq95sp000g699yxurmga37","San Diego Red","https://www.sandiegored.com/feed/",2,"STATE","Baja California",true,0
"cmkytxb40000u28wqoxmi69wk","Semanario Zeta","https://zetatijuana.com/feed/",2,"STATE","Baja California",true,0
"cmkytxb46000w28wq30dvsynt","Uniradio Noticias","https://www.uniradiosonora.com/feed/",2,"STATE","Baja California",true,0
"cmkytxb4b000y28wqc05ekclg","BCS Noticias","https://www.bcsnoticias.mx/feed/",2,"STATE","Baja California Sur",true,0
"cmkytxb4e000z28wqxjl8onzo","Diario El Independiente","https://www.diarioelindependiente.mx/feed",2,"STATE","Baja California Sur",true,0
"cmkytxbee004f28wqwk2qxvcj","El Informante BCS","https://elinformantebcs.mx/feed/",2,"STATE","Baja California Sur",true,0
"cmkytxb4h001028wq5zsnz25w","Tribuna Campeche","https://tribunacampeche.com/feed/",2,"STATE","Campeche",true,0
"cmkytxbem004h28wqugqlsjhz","Alerta Chiapas","https://alertachiapas.com/feed/",2,"STATE","Chiapas",true,0
"cmkytxb4t001528wq78oy0xoo","Cuarto Poder Chiapas","https://www.cuartopoder.mx/feedgooglenews/nacional",2,"STATE","Chiapas",true,0
"cmkytxb4r001428wqmtddoknp","Diario de Chiapas","https://diariodechiapas.com/feed/",2,"STATE","Chiapas",true,0
"cmlip9wbt000769qm5p7xkbd9","Diario de Chiapas","https://www.diariodechiapas.com/feed/",2,"STATE","Chiapas",true,0
"cmkytxb50001828wq8l19vgek","El Diario de Chihuahua","https://diario.mx/rss/feed.xml",2,"STATE","Chihuahua",true,0
"cmkytxb53001928wqlbf4llnc","El Pueblo","https://elpueblo.com/rss/feed.xml",2,"STATE","Chihuahua",true,0
"cmlip9v2g000369qmbra2xxjs","Norte Digital","https://nortedigital.mx/feed/",2,"STATE","Chihuahua",true,0
"cmkytxb5t001k28wqf5n5sx9u","Chilango","https://www.chilango.com/feed/",2,"STATE","Ciudad de México",true,0
"cmliq96se000v699y72jmq76b","Contralínea","https://contralinea.com.mx/feed/",2,"STATE","Ciudad de México",true,0
"cmkytxb5v001l28wqzuo97447","Más por Más CDMX","https://www.maspormas.com/feed/",2,"STATE","Ciudad de México",true,0
"cmliq95hv000c699y2bavm48h","El Siglo de Torreón","https://elsiglodetorreon.com.mx/index.xml",2,"STATE","Coahuila",true,0
"cmlip9v7a000469qmbj6q8oer","Vanguardia","https://vanguardia.com.mx/rss.xml",2,"STATE","Coahuila",true,0
"cmliq95ki000d699y5z32o5fg","Vanguardia RSS","https://www.vanguardia.com.mx/rss",2,"STATE","Coahuila",true,0
"cmkytxb5m001h28wqtk4mllha","AF Medios Colima","https://www.afmedios.com/feed/",2,"STATE","Colima",true,0
"cmliq96np000u699y831c06sl","Colima Noticias","https://colimanoticias.com/feed/",2,"STATE","Colima",true,0
"cmlip9vcm000569qmxaocbnqe","Contacto Hoy Durango","https://contactohoy.com.mx/feed/",2,"STATE","Durango",true,0
"cmliq95un000h699ynfp9f0sa","El Sol de Durango","https://www.elsoldedurango.com.mx/rss",2,"STATE","Durango",true,0
"cmkytxb6d001r28wqqyv78zq6","8 Columnas","https://8columnas.com.mx/feed/",2,"STATE","Estado de México",true,0
"cmliq9611000j699y04s1si0g","AD Noticias","https://adnoticias.mx/feed/",2,"STATE","Estado de México",true,0
"cmliq95z1000i699ypdvfc52j","El Sol de Toluca","https://www.elsoldetoluca.com.mx/rss",2,"STATE","Estado de México",true,0
"cmkytxb69001q28wqjehvaneo","Quadratín Estado de México","https://edomex.quadratin.com.mx/feed/",2,"STATE","Estado de México",true,0
"cmkytxb6l001u28wq6ms8aegw","AM León","https://www.am.com.mx/feed",2,"STATE","Guanajuato",true,0
"cmkytxb6r001w28wqsk3oh2d2","Correo Guanajuato","https://periodicocorreo.com.mx/rss/feed.xml",2,"STATE","Guanajuato",true,0
"cmkytxbfq004u28wqu7is9ryl","Diario 21 Guerrero","https://diario21.com.mx/feed/",2,"STATE","Guerrero",true,0
"cmkytxb70001z28wqr0wnkb3n","El Sur de Acapulco","https://suracapulco.mx/feed/",2,"STATE","Guerrero",true,2
"cmkytxb73002028wqaafzhqlc","Quadratín Guerrero","https://guerrero.quadratin.com.mx/feed/",2,"STATE","Guerrero",true,0
"cmkytxbft004v28wqicy8zsvw","Independiente de Hidalgo","https://independientedehidalgo.com.mx/feed/",2,"STATE","Hidalgo",true,0
"cmkytxb7h002528wqi9we04j1","Plaza Juárez Hidalgo","https://plazajuarez.mx/feed/",2,"STATE","Hidalgo",true,0
"cmkytxb7e002428wqhlecj9uc","Quadratín Hidalgo","https://hidalgo.quadratin.com.mx/feed/",2,"STATE","Hidalgo",true,0
"cmlip9xdj000869qm4fi64khe","Informador","https://www.informador.mx/rss/ultimas-noticias.xml",2,"STATE","Jalisco",true,0
"cmlip9xhh000969qm20uzcwog","Quadratín Jalisco","https://jalisco.quadratin.com.mx/feed/",2,"STATE","Jalisco",true,0
